INPUT_TABLE,,,,,
Variable ID,,,,,
GlobalIntTechEff,,,,,
,,,,,
sector.name,subsector.name,intermittent.technology,year,minicam.energy.input,efficiency
electricity,offshore wind,offshore wind 2,1975,offshore wind resource 2,1
electricity,offshore wind,offshore wind 2,1990,offshore wind resource 2,1
electricity,offshore wind,offshore wind 2,2005,offshore wind resource 2,1
electricity,offshore wind,offshore wind 2,2010,offshore wind resource 2,1
electricity,offshore wind,offshore wind 2,2015,offshore wind resource 2,1
electricity,offshore wind,offshore wind 2,2020,offshore wind resource 2,1
electricity,offshore wind,offshore wind 2,2025,offshore wind resource 2,1
electricity,offshore wind,offshore wind 2,2030,offshore wind resource 2,1
electricity,offshore wind,offshore wind 2,2035,offshore wind resource 2,1
electricity,offshore wind,offshore wind 2,2040,offshore wind resource 2,1
electricity,offshore wind,offshore wind 2,2045,offshore wind resource 2,1
electricity,offshore wind,offshore wind 2,2050,offshore wind resource 2,1
electricity,offshore wind,offshore wind 2,2055,offshore wind resource 2,1
electricity,offshore wind,offshore wind 2,2060,offshore wind resource 2,1
electricity,offshore wind,offshore wind 2,2065,offshore wind resource 2,1
electricity,offshore wind,offshore wind 2,2070,offshore wind resource 2,1
electricity,offshore wind,offshore wind 2,2075,offshore wind resource 2,1
electricity,offshore wind,offshore wind 2,2080,offshore wind resource 2,1
electricity,offshore wind,offshore wind 2,2085,offshore wind resource 2,1
electricity,offshore wind,offshore wind 2,2090,offshore wind resource 2,1
electricity,offshore wind,offshore wind 2,2095,offshore wind resource 2,1
electricity,offshore wind,offshore wind 2,2100,offshore wind resource 2,1
