INPUT_TABLE,,,,,
Variable ID,,,,,
GlobalIntTechEff,,,,,
,,,,,
sector.name,subsector.name,intermittent.technology,year,minicam.energy.input,efficiency
electricity,offshore wind,offshore wind c7,1975,offshore wind resource c7,1
electricity,offshore wind,offshore wind c7,1990,offshore wind resource c7,1
electricity,offshore wind,offshore wind c7,2005,offshore wind resource c7,1
electricity,offshore wind,offshore wind c7,2010,offshore wind resource c7,1
electricity,offshore wind,offshore wind c7,2015,offshore wind resource c7,1
electricity,offshore wind,offshore wind c7,2020,offshore wind resource c7,1
electricity,offshore wind,offshore wind c7,2025,offshore wind resource c7,1
electricity,offshore wind,offshore wind c7,2030,offshore wind resource c7,1
electricity,offshore wind,offshore wind c7,2035,offshore wind resource c7,1
electricity,offshore wind,offshore wind c7,2040,offshore wind resource c7,1
electricity,offshore wind,offshore wind c7,2045,offshore wind resource c7,1
electricity,offshore wind,offshore wind c7,2050,offshore wind resource c7,1
electricity,offshore wind,offshore wind c7,2055,offshore wind resource c7,1
electricity,offshore wind,offshore wind c7,2060,offshore wind resource c7,1
electricity,offshore wind,offshore wind c7,2065,offshore wind resource c7,1
electricity,offshore wind,offshore wind c7,2070,offshore wind resource c7,1
electricity,offshore wind,offshore wind c7,2075,offshore wind resource c7,1
electricity,offshore wind,offshore wind c7,2080,offshore wind resource c7,1
electricity,offshore wind,offshore wind c7,2085,offshore wind resource c7,1
electricity,offshore wind,offshore wind c7,2090,offshore wind resource c7,1
electricity,offshore wind,offshore wind c7,2095,offshore wind resource c7,1
electricity,offshore wind,offshore wind c7,2100,offshore wind resource c7,1
