INPUT_TABLE,,,,
Variable ID,,,,
GlobalIntTechLifetime,,,,
,,,,
sector.name,subsector.name,intermittent.technology,year,lifetime
electricity,offshore wind,offshore wind 4,2010,30
electricity,offshore wind,offshore wind 4,2015,30
electricity,offshore wind,offshore wind 4,2020,30
electricity,offshore wind,offshore wind 4,2025,30
electricity,offshore wind,offshore wind 4,2030,30
electricity,offshore wind,offshore wind 4,2035,30
electricity,offshore wind,offshore wind 4,2040,30
electricity,offshore wind,offshore wind 4,2045,30
electricity,offshore wind,offshore wind 4,2050,30
electricity,offshore wind,offshore wind 4,2055,30
electricity,offshore wind,offshore wind 4,2060,30
electricity,offshore wind,offshore wind 4,2065,30
electricity,offshore wind,offshore wind 4,2070,30
electricity,offshore wind,offshore wind 4,2075,30
electricity,offshore wind,offshore wind 4,2080,30
electricity,offshore wind,offshore wind 4,2085,30
electricity,offshore wind,offshore wind 4,2090,30
electricity,offshore wind,offshore wind 4,2095,30
electricity,offshore wind,offshore wind 4,2100,30
