INPUT_TABLE,,,,
Variable ID,,,,
GlobalIntTechLifetime,,,,
,,,,
sector.name,subsector.name,intermittent.technology,year,lifetime
electricity,offshore wind,offshore wind c7,2010,30
electricity,offshore wind,offshore wind c7,2015,30
electricity,offshore wind,offshore wind c7,2020,30
electricity,offshore wind,offshore wind c7,2025,30
electricity,offshore wind,offshore wind c7,2030,30
electricity,offshore wind,offshore wind c7,2035,30
electricity,offshore wind,offshore wind c7,2040,30
electricity,offshore wind,offshore wind c7,2045,30
electricity,offshore wind,offshore wind c7,2050,30
electricity,offshore wind,offshore wind c7,2055,30
electricity,offshore wind,offshore wind c7,2060,30
electricity,offshore wind,offshore wind c7,2065,30
electricity,offshore wind,offshore wind c7,2070,30
electricity,offshore wind,offshore wind c7,2075,30
electricity,offshore wind,offshore wind c7,2080,30
electricity,offshore wind,offshore wind c7,2085,30
electricity,offshore wind,offshore wind c7,2090,30
electricity,offshore wind,offshore wind c7,2095,30
electricity,offshore wind,offshore wind c7,2100,30
