INPUT_TABLE,,,,,,
Variable ID,,,,,,
GlobalIntTechOMfixed,,,,,,
,,,,,,
sector.name,subsector.name,intermittent.technology,year,input.OM.fixed,OM.fixed,capacity.factor
electricity,offshore wind,offshore wind 3,1975,OM-fixed,136,0.414
electricity,offshore wind,offshore wind 3,1990,OM-fixed,136,0.414
electricity,offshore wind,offshore wind 3,2005,OM-fixed,136,0.414
electricity,offshore wind,offshore wind 3,2010,OM-fixed,136,0.414
electricity,offshore wind,offshore wind 3,2015,OM-fixed,136,0.414
electricity,offshore wind,offshore wind 3,2020,OM-fixed,130.21,0.414
electricity,offshore wind,offshore wind 3,2025,OM-fixed,125.29,0.414
electricity,offshore wind,offshore wind 3,2030,OM-fixed,121.07,0.414
electricity,offshore wind,offshore wind 3,2035,OM-fixed,117.39,0.414
electricity,offshore wind,offshore wind 3,2040,OM-fixed,114.23,0.414
electricity,offshore wind,offshore wind 3,2045,OM-fixed,111.59,0.414
electricity,offshore wind,offshore wind 3,2050,OM-fixed,109.22,0.414
electricity,offshore wind,offshore wind 3,2055,OM-fixed,107.29,0.414
electricity,offshore wind,offshore wind 3,2060,OM-fixed,105.53,0.414
electricity,offshore wind,offshore wind 3,2065,OM-fixed,104.13,0.414
electricity,offshore wind,offshore wind 3,2070,OM-fixed,102.81,0.414
electricity,offshore wind,offshore wind 3,2075,OM-fixed,101.76,0.414
electricity,offshore wind,offshore wind 3,2080,OM-fixed,100.88,0.414
electricity,offshore wind,offshore wind 3,2085,OM-fixed,100.09,0.414
electricity,offshore wind,offshore wind 3,2090,OM-fixed,99.39,0.414
electricity,offshore wind,offshore wind 3,2095,OM-fixed,98.77,0.414
electricity,offshore wind,offshore wind 3,2100,OM-fixed,98.25,0.414
