INPUT_TABLE,,,,
Variable ID,,,,
GlobalIntTechShrwt,,,,
,,,,
sector.name,subsector.name,intermittent.technology,year,share.weight
electricity,offshore wind,offshore wind 1,1975,0
electricity,offshore wind,offshore wind 1,1990,0
electricity,offshore wind,offshore wind 1,2005,0
electricity,offshore wind,offshore wind 1,2010,0
electricity,offshore wind,offshore wind 1,2015,0.25
electricity,offshore wind,offshore wind 1,2020,0.5
electricity,offshore wind,offshore wind 1,2025,0.75
electricity,offshore wind,offshore wind 1,2030,1
electricity,offshore wind,offshore wind 1,2035,1
electricity,offshore wind,offshore wind 1,2040,1
electricity,offshore wind,offshore wind 1,2045,1
electricity,offshore wind,offshore wind 1,2050,1
electricity,offshore wind,offshore wind 1,2055,1
electricity,offshore wind,offshore wind 1,2060,1
electricity,offshore wind,offshore wind 1,2065,1
electricity,offshore wind,offshore wind 1,2070,1
electricity,offshore wind,offshore wind 1,2075,1
electricity,offshore wind,offshore wind 1,2080,1
electricity,offshore wind,offshore wind 1,2085,1
electricity,offshore wind,offshore wind 1,2090,1
electricity,offshore wind,offshore wind 1,2095,1
electricity,offshore wind,offshore wind 1,2100,1
