INPUT_TABLE,,,,
Variable ID,,,,
GlobalIntTechShrwt,,,,
,,,,
sector.name,subsector.name,intermittent.technology,year,share.weight
electricity,offshore wind,offshore wind c4,1975,0
electricity,offshore wind,offshore wind c4,1990,0
electricity,offshore wind,offshore wind c4,2005,0
electricity,offshore wind,offshore wind c4,2010,0
electricity,offshore wind,offshore wind c4,2015,0.25
electricity,offshore wind,offshore wind c4,2020,0.5
electricity,offshore wind,offshore wind c4,2025,0.75
electricity,offshore wind,offshore wind c4,2030,1
electricity,offshore wind,offshore wind c4,2035,1
electricity,offshore wind,offshore wind c4,2040,1
electricity,offshore wind,offshore wind c4,2045,1
electricity,offshore wind,offshore wind c4,2050,1
electricity,offshore wind,offshore wind c4,2055,1
electricity,offshore wind,offshore wind c4,2060,1
electricity,offshore wind,offshore wind c4,2065,1
electricity,offshore wind,offshore wind c4,2070,1
electricity,offshore wind,offshore wind c4,2075,1
electricity,offshore wind,offshore wind c4,2080,1
electricity,offshore wind,offshore wind c4,2085,1
electricity,offshore wind,offshore wind c4,2090,1
electricity,offshore wind,offshore wind c4,2095,1
electricity,offshore wind,offshore wind c4,2100,1
