INPUT_TABLE,,,,,,
Variable ID,,,,,,
GlobalTechOMfixed,,,,,,
,,,,,,
sector.name,subsector.name,technology,year,input.OM.fixed,OM.fixed,capacity.factor
electricity,offshore wind,offshore_wind_storage_c6,1975,OM-fixed,38.42332564,0.343229315
electricity,offshore wind,offshore_wind_storage_c6,1990,OM-fixed,38.42332564,0.343229315
electricity,offshore wind,offshore_wind_storage_c6,2005,OM-fixed,38.42332564,0.343229315
electricity,offshore wind,offshore_wind_storage_c6,2010,OM-fixed,38.42332564,0.343229315
electricity,offshore wind,offshore_wind_storage_c6,2015,OM-fixed,38.42332564,0.343229315
electricity,offshore wind,offshore_wind_storage_c6,2020,OM-fixed,28.81749423,0.343229315
electricity,offshore wind,offshore_wind_storage_c6,2025,OM-fixed,21.61312067,0.343229315
electricity,offshore wind,offshore_wind_storage_c6,2030,OM-fixed,16.2098405,0.343229315
electricity,offshore wind,offshore_wind_storage_c6,2035,OM-fixed,15.39934848,0.343229315
electricity,offshore wind,offshore_wind_storage_c6,2040,OM-fixed,14.62938105,0.343229315
electricity,offshore wind,offshore_wind_storage_c6,2045,OM-fixed,13.897912,0.343229315
electricity,offshore wind,offshore_wind_storage_c6,2050,OM-fixed,13.2030164,0.343229315
electricity,offshore wind,offshore_wind_storage_c6,2055,OM-fixed,12.54286558,0.343229315
electricity,offshore wind,offshore_wind_storage_c6,2060,OM-fixed,11.9157223,0.343229315
electricity,offshore wind,offshore_wind_storage_c6,2065,OM-fixed,11.31993619,0.343229315
electricity,offshore wind,offshore_wind_storage_c6,2070,OM-fixed,10.75393938,0.343229315
electricity,offshore wind,offshore_wind_storage_c6,2075,OM-fixed,10.21624241,0.343229315
electricity,offshore wind,offshore_wind_storage_c6,2080,OM-fixed,9.705430288,0.343229315
electricity,offshore wind,offshore_wind_storage_c6,2085,OM-fixed,9.220158774,0.343229315
electricity,offshore wind,offshore_wind_storage_c6,2090,OM-fixed,8.759150835,0.343229315
electricity,offshore wind,offshore_wind_storage_c6,2095,OM-fixed,8.321193293,0.343229315
electricity,offshore wind,offshore_wind_storage_c6,2100,OM-fixed,7.905133628,0.343229315
