INPUT_TABLE,,,,,
Variable ID,,,,,
GlobalTechOMvar,,,,,
,,,,,
sector.name,subsector.name,technology,year,input.OM.var,OM.var
electricity,offshore wind,offshore_wind_storage_1,1975,OM-var,3.91
electricity,offshore wind,offshore_wind_storage_1,1990,OM-var,3.91
electricity,offshore wind,offshore_wind_storage_1,2005,OM-var,3.91
electricity,offshore wind,offshore_wind_storage_1,2010,OM-var,0
electricity,offshore wind,offshore_wind_storage_1,2015,OM-var,0
electricity,offshore wind,offshore_wind_storage_1,2020,OM-var,0
electricity,offshore wind,offshore_wind_storage_1,2025,OM-var,0
electricity,offshore wind,offshore_wind_storage_1,2030,OM-var,0
electricity,offshore wind,offshore_wind_storage_1,2035,OM-var,0
electricity,offshore wind,offshore_wind_storage_1,2040,OM-var,0
electricity,offshore wind,offshore_wind_storage_1,2045,OM-var,0
electricity,offshore wind,offshore_wind_storage_1,2050,OM-var,0
electricity,offshore wind,offshore_wind_storage_1,2055,OM-var,0
electricity,offshore wind,offshore_wind_storage_1,2060,OM-var,0
electricity,offshore wind,offshore_wind_storage_1,2065,OM-var,0
electricity,offshore wind,offshore_wind_storage_1,2070,OM-var,0
electricity,offshore wind,offshore_wind_storage_1,2075,OM-var,0
electricity,offshore wind,offshore_wind_storage_1,2080,OM-var,0
electricity,offshore wind,offshore_wind_storage_1,2085,OM-var,0
electricity,offshore wind,offshore_wind_storage_1,2090,OM-var,0
electricity,offshore wind,offshore_wind_storage_1,2095,OM-var,0
electricity,offshore wind,offshore_wind_storage_1,2100,OM-var,0
