INPUT_TABLE,,,,,,,,
Variable ID,,,,,,,,
StubTechCapFactor,,,,,,,,
,,,,,,,,
region,supplysector,subsector,stub.technology,year,input.capital,capacity.factor.capital,input.OM.fixed,capacity.factor.OM
Africa_Eastern,electricity,offshore wind,offshore wind c4,1975,capital,0.338210064,OM-fixed,0.338210064
Africa_Northern,electricity,offshore wind,offshore wind c4,1975,capital,0.338210064,OM-fixed,0.338210064
Africa_Southern,electricity,offshore wind,offshore wind c4,1975,capital,0.338210064,OM-fixed,0.338210064
Africa_Western,electricity,offshore wind,offshore wind c4,1975,capital,0.338210064,OM-fixed,0.338210064
Australia_NZ,electricity,offshore wind,offshore wind c4,1975,capital,0.338210064,OM-fixed,0.338210064
Brazil,electricity,offshore wind,offshore wind c4,1975,capital,0.338210064,OM-fixed,0.338210064
Canada,electricity,offshore wind,offshore wind c4,1975,capital,0.338210064,OM-fixed,0.338210064
Central America and Caribbean,electricity,offshore wind,offshore wind c4,1975,capital,0.338210064,OM-fixed,0.338210064
China,electricity,offshore wind,offshore wind c4,1975,capital,0.338210064,OM-fixed,0.338210064
EU-12,electricity,offshore wind,offshore wind c4,1975,capital,0.338210064,OM-fixed,0.338210064
EU-15,electricity,offshore wind,offshore wind c4,1975,capital,0.338210064,OM-fixed,0.338210064
Europe_Eastern,electricity,offshore wind,offshore wind c4,1975,capital,0.338210064,OM-fixed,0.338210064
Europe_Non_EU,electricity,offshore wind,offshore wind c4,1975,capital,0.338210064,OM-fixed,0.338210064
European Free Trade Association,electricity,offshore wind,offshore wind c4,1975,capital,0.338210064,OM-fixed,0.338210064
India,electricity,offshore wind,offshore wind c4,1975,capital,0.338210064,OM-fixed,0.338210064
Indonesia,electricity,offshore wind,offshore wind c4,1975,capital,0.338210064,OM-fixed,0.338210064
Japan,electricity,offshore wind,offshore wind c4,1975,capital,0.338210064,OM-fixed,0.338210064
Mexico,electricity,offshore wind,offshore wind c4,1975,capital,0.338210064,OM-fixed,0.338210064
Middle East,electricity,offshore wind,offshore wind c4,1975,capital,0.338210064,OM-fixed,0.338210064
Pakistan,electricity,offshore wind,offshore wind c4,1975,capital,0.338210064,OM-fixed,0.338210064
Russia,electricity,offshore wind,offshore wind c4,1975,capital,0.338210064,OM-fixed,0.338210064
South Africa,electricity,offshore wind,offshore wind c4,1975,capital,0.338210064,OM-fixed,0.338210064
South America_Northern,electricity,offshore wind,offshore wind c4,1975,capital,0.338210064,OM-fixed,0.338210064
South America_Southern,electricity,offshore wind,offshore wind c4,1975,capital,0.338210064,OM-fixed,0.338210064
South Asia,electricity,offshore wind,offshore wind c4,1975,capital,0.338210064,OM-fixed,0.338210064
South Korea,electricity,offshore wind,offshore wind c4,1975,capital,0.338210064,OM-fixed,0.338210064
Southeast Asia,electricity,offshore wind,offshore wind c4,1975,capital,0.338210064,OM-fixed,0.338210064
Taiwan,electricity,offshore wind,offshore wind c4,1975,capital,0.338210064,OM-fixed,0.338210064
Argentina,electricity,offshore wind,offshore wind c4,1975,capital,0.338210064,OM-fixed,0.338210064
Colombia,electricity,offshore wind,offshore wind c4,1975,capital,0.338210064,OM-fixed,0.338210064
Africa_Eastern,electricity,offshore wind,offshore wind c4,1990,capital,0.338210064,OM-fixed,0.338210064
Africa_Northern,electricity,offshore wind,offshore wind c4,1990,capital,0.338210064,OM-fixed,0.338210064
Africa_Southern,electricity,offshore wind,offshore wind c4,1990,capital,0.338210064,OM-fixed,0.338210064
Africa_Western,electricity,offshore wind,offshore wind c4,1990,capital,0.338210064,OM-fixed,0.338210064
Australia_NZ,electricity,offshore wind,offshore wind c4,1990,capital,0.338210064,OM-fixed,0.338210064
Brazil,electricity,offshore wind,offshore wind c4,1990,capital,0.338210064,OM-fixed,0.338210064
Canada,electricity,offshore wind,offshore wind c4,1990,capital,0.338210064,OM-fixed,0.338210064
Central America and Caribbean,electricity,offshore wind,offshore wind c4,1990,capital,0.338210064,OM-fixed,0.338210064
China,electricity,offshore wind,offshore wind c4,1990,capital,0.338210064,OM-fixed,0.338210064
EU-12,electricity,offshore wind,offshore wind c4,1990,capital,0.338210064,OM-fixed,0.338210064
EU-15,electricity,offshore wind,offshore wind c4,1990,capital,0.338210064,OM-fixed,0.338210064
Europe_Eastern,electricity,offshore wind,offshore wind c4,1990,capital,0.338210064,OM-fixed,0.338210064
Europe_Non_EU,electricity,offshore wind,offshore wind c4,1990,capital,0.338210064,OM-fixed,0.338210064
European Free Trade Association,electricity,offshore wind,offshore wind c4,1990,capital,0.338210064,OM-fixed,0.338210064
India,electricity,offshore wind,offshore wind c4,1990,capital,0.338210064,OM-fixed,0.338210064
Indonesia,electricity,offshore wind,offshore wind c4,1990,capital,0.338210064,OM-fixed,0.338210064
Japan,electricity,offshore wind,offshore wind c4,1990,capital,0.338210064,OM-fixed,0.338210064
Mexico,electricity,offshore wind,offshore wind c4,1990,capital,0.338210064,OM-fixed,0.338210064
Middle East,electricity,offshore wind,offshore wind c4,1990,capital,0.338210064,OM-fixed,0.338210064
Pakistan,electricity,offshore wind,offshore wind c4,1990,capital,0.338210064,OM-fixed,0.338210064
Russia,electricity,offshore wind,offshore wind c4,1990,capital,0.338210064,OM-fixed,0.338210064
South Africa,electricity,offshore wind,offshore wind c4,1990,capital,0.338210064,OM-fixed,0.338210064
South America_Northern,electricity,offshore wind,offshore wind c4,1990,capital,0.338210064,OM-fixed,0.338210064
South America_Southern,electricity,offshore wind,offshore wind c4,1990,capital,0.338210064,OM-fixed,0.338210064
South Asia,electricity,offshore wind,offshore wind c4,1990,capital,0.338210064,OM-fixed,0.338210064
South Korea,electricity,offshore wind,offshore wind c4,1990,capital,0.338210064,OM-fixed,0.338210064
Southeast Asia,electricity,offshore wind,offshore wind c4,1990,capital,0.338210064,OM-fixed,0.338210064
Taiwan,electricity,offshore wind,offshore wind c4,1990,capital,0.338210064,OM-fixed,0.338210064
Argentina,electricity,offshore wind,offshore wind c4,1990,capital,0.338210064,OM-fixed,0.338210064
Colombia,electricity,offshore wind,offshore wind c4,1990,capital,0.338210064,OM-fixed,0.338210064
Africa_Eastern,electricity,offshore wind,offshore wind c4,2005,capital,0.338210064,OM-fixed,0.338210064
Africa_Northern,electricity,offshore wind,offshore wind c4,2005,capital,0.338210064,OM-fixed,0.338210064
Africa_Southern,electricity,offshore wind,offshore wind c4,2005,capital,0.338210064,OM-fixed,0.338210064
Africa_Western,electricity,offshore wind,offshore wind c4,2005,capital,0.338210064,OM-fixed,0.338210064
Australia_NZ,electricity,offshore wind,offshore wind c4,2005,capital,0.338210064,OM-fixed,0.338210064
Brazil,electricity,offshore wind,offshore wind c4,2005,capital,0.338210064,OM-fixed,0.338210064
Canada,electricity,offshore wind,offshore wind c4,2005,capital,0.338210064,OM-fixed,0.338210064
Central America and Caribbean,electricity,offshore wind,offshore wind c4,2005,capital,0.338210064,OM-fixed,0.338210064
China,electricity,offshore wind,offshore wind c4,2005,capital,0.338210064,OM-fixed,0.338210064
EU-12,electricity,offshore wind,offshore wind c4,2005,capital,0.338210064,OM-fixed,0.338210064
EU-15,electricity,offshore wind,offshore wind c4,2005,capital,0.338210064,OM-fixed,0.338210064
Europe_Eastern,electricity,offshore wind,offshore wind c4,2005,capital,0.338210064,OM-fixed,0.338210064
Europe_Non_EU,electricity,offshore wind,offshore wind c4,2005,capital,0.338210064,OM-fixed,0.338210064
European Free Trade Association,electricity,offshore wind,offshore wind c4,2005,capital,0.338210064,OM-fixed,0.338210064
India,electricity,offshore wind,offshore wind c4,2005,capital,0.338210064,OM-fixed,0.338210064
Indonesia,electricity,offshore wind,offshore wind c4,2005,capital,0.338210064,OM-fixed,0.338210064
Japan,electricity,offshore wind,offshore wind c4,2005,capital,0.338210064,OM-fixed,0.338210064
Mexico,electricity,offshore wind,offshore wind c4,2005,capital,0.338210064,OM-fixed,0.338210064
Middle East,electricity,offshore wind,offshore wind c4,2005,capital,0.338210064,OM-fixed,0.338210064
Pakistan,electricity,offshore wind,offshore wind c4,2005,capital,0.338210064,OM-fixed,0.338210064
Russia,electricity,offshore wind,offshore wind c4,2005,capital,0.338210064,OM-fixed,0.338210064
South Africa,electricity,offshore wind,offshore wind c4,2005,capital,0.338210064,OM-fixed,0.338210064
South America_Northern,electricity,offshore wind,offshore wind c4,2005,capital,0.338210064,OM-fixed,0.338210064
South America_Southern,electricity,offshore wind,offshore wind c4,2005,capital,0.338210064,OM-fixed,0.338210064
South Asia,electricity,offshore wind,offshore wind c4,2005,capital,0.338210064,OM-fixed,0.338210064
South Korea,electricity,offshore wind,offshore wind c4,2005,capital,0.338210064,OM-fixed,0.338210064
Southeast Asia,electricity,offshore wind,offshore wind c4,2005,capital,0.338210064,OM-fixed,0.338210064
Taiwan,electricity,offshore wind,offshore wind c4,2005,capital,0.338210064,OM-fixed,0.338210064
Argentina,electricity,offshore wind,offshore wind c4,2005,capital,0.338210064,OM-fixed,0.338210064
Colombia,electricity,offshore wind,offshore wind c4,2005,capital,0.338210064,OM-fixed,0.338210064
Africa_Eastern,electricity,offshore wind,offshore wind c4,2010,capital,0.338210064,OM-fixed,0.338210064
