INPUT_TABLE,,,,,,
Variable ID,,,,,,
StubTechMarket,,,,,,
,,,,,,
region,supplysector,subsector,stub.technology,year,minicam.energy.input,market.name
CA,electricity,offshore wind,offshore wind 7,1975,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 7,1990,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 7,2005,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 7,2010,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 7,2015,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 7,2020,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 7,2025,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 7,2030,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 7,2035,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 7,2040,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 7,2045,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 7,2050,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 7,2055,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 7,2060,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 7,2065,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 7,2070,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 7,2075,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 7,2080,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 7,2085,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 7,2090,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 7,2095,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 7,2100,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 7,1975,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 7,1990,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 7,2005,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 7,2010,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 7,2015,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 7,2020,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 7,2025,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 7,2030,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 7,2035,backup_electricity,USA
