INPUT_TABLE,,,
Variable ID,,,
StubTech,,,
,,,
region,supplysector,subsector,stub.technology
CA,electricity,offshore wind,offshore wind 4
CA,electricity,offshore wind,offshore_wind_storage_4
DE,electricity,offshore wind,offshore wind 4
DE,electricity,offshore wind,offshore_wind_storage_4
HI,electricity,offshore wind,offshore wind 4
HI,electricity,offshore wind,offshore_wind_storage_4
IL,electricity,offshore wind,offshore wind 4
IL,electricity,offshore wind,offshore_wind_storage_4
ME,electricity,offshore wind,offshore wind 4
ME,electricity,offshore wind,offshore_wind_storage_4
MD,electricity,offshore wind,offshore wind 4
MD,electricity,offshore wind,offshore_wind_storage_4
MA,electricity,offshore wind,offshore wind 4
MA,electricity,offshore wind,offshore_wind_storage_4
MI,electricity,offshore wind,offshore wind 4
MI,electricity,offshore wind,offshore_wind_storage_4
NH,electricity,offshore wind,offshore wind 4
NH,electricity,offshore wind,offshore_wind_storage_4
NJ,electricity,offshore wind,offshore wind 4
NJ,electricity,offshore wind,offshore_wind_storage_4
NY,electricity,offshore wind,offshore wind 4
NY,electricity,offshore wind,offshore_wind_storage_4
NC,electricity,offshore wind,offshore wind 4
NC,electricity,offshore wind,offshore_wind_storage_4
OR,electricity,offshore wind,offshore wind 4
OR,electricity,offshore wind,offshore_wind_storage_4
RI,electricity,offshore wind,offshore wind 4
RI,electricity,offshore wind,offshore_wind_storage_4
SC,electricity,offshore wind,offshore wind 4
SC,electricity,offshore wind,offshore_wind_storage_4
TX,electricity,offshore wind,offshore wind 4
TX,electricity,offshore wind,offshore_wind_storage_4
VA,electricity,offshore wind,offshore wind 4
VA,electricity,offshore wind,offshore_wind_storage_4
WI,electricity,offshore wind,offshore wind 4
WI,electricity,offshore wind,offshore_wind_storage_4
