INPUT_TABLE,,,
Variable ID,,,
StubTech,,,
,,,
region,supplysector,subsector,stub.technology
Africa_Eastern,electricity,offshore wind,offshore wind c89
Africa_Eastern,electricity,offshore wind,offshore_wind_storage_c89
Africa_Northern,electricity,offshore wind,offshore wind c89
Africa_Northern,electricity,offshore wind,offshore_wind_storage_c89
Africa_Southern,electricity,offshore wind,offshore wind c89
Africa_Southern,electricity,offshore wind,offshore_wind_storage_c89
Africa_Western,electricity,offshore wind,offshore wind c89
Africa_Western,electricity,offshore wind,offshore_wind_storage_c89
Australia_NZ,electricity,offshore wind,offshore wind c89
Australia_NZ,electricity,offshore wind,offshore_wind_storage_c89
Canada,electricity,offshore wind,offshore wind c89
Canada,electricity,offshore wind,offshore_wind_storage_c89
Central America and Caribbean,electricity,offshore wind,offshore wind c89
Central America and Caribbean,electricity,offshore wind,offshore_wind_storage_c89
EU-15,electricity,offshore wind,offshore wind c89
EU-15,electricity,offshore wind,offshore_wind_storage_c89
European Free Trade Association,electricity,offshore wind,offshore wind c89
European Free Trade Association,electricity,offshore wind,offshore_wind_storage_c89
Mexico,electricity,offshore wind,offshore wind c89
Mexico,electricity,offshore wind,offshore_wind_storage_c89
Middle East,electricity,offshore wind,offshore wind c89
Middle East,electricity,offshore wind,offshore_wind_storage_c89
Russia,electricity,offshore wind,offshore wind c89
Russia,electricity,offshore wind,offshore_wind_storage_c89
South America_Northern,electricity,offshore wind,offshore wind c89
South America_Northern,electricity,offshore wind,offshore_wind_storage_c89
South America_Southern,electricity,offshore wind,offshore wind c89
South America_Southern,electricity,offshore wind,offshore_wind_storage_c89
Southeast Asia,electricity,offshore wind,offshore wind c89
Southeast Asia,electricity,offshore wind,offshore_wind_storage_c89
Argentina,electricity,offshore wind,offshore wind c89
Argentina,electricity,offshore wind,offshore_wind_storage_c89
Colombia,electricity,offshore wind,offshore wind c89
Colombia,electricity,offshore wind,offshore_wind_storage_c89
