INPUT_TABLE,,,,
Variable ID,,,,
SubsectorShrwtFllt,,,,
,,,,
region,supplysector,subsector,year.fillout,share.weight
CA,electricity,offshore wind,2100,1
DE,electricity,offshore wind,2100,1
HI,electricity,offshore wind,2100,1
IL,electricity,offshore wind,2100,1
ME,electricity,offshore wind,2100,1
MD,electricity,offshore wind,2100,1
MA,electricity,offshore wind,2100,1
MI,electricity,offshore wind,2100,1
NH,electricity,offshore wind,2100,1
NJ,electricity,offshore wind,2100,1
NY,electricity,offshore wind,2100,1
NC,electricity,offshore wind,2100,1
OR,electricity,offshore wind,2100,1
RI,electricity,offshore wind,2100,1
SC,electricity,offshore wind,2100,1
TX,electricity,offshore wind,2100,1
VA,electricity,offshore wind,2100,1
WI,electricity,offshore wind,2100,1
